Token Name,Symbol,Address,Change %
"Bitcoin on Base
(BTCB)",BTCB,0x0c41f1fc9022feb69af6dc666abfe73c9ffda7ce,3.05%
"Coinbase Wrapped DOGE
(cbDOGE)",cbDOGE,0xcbd06e5a2b0c65597161de254aa074e489deb510,3.65%
"Splintershards
(SPS)",SPS,0x578661e9a09eee6b2cd97d4ded1ccbae7b8516b9,0.47%
"Common Wealth Token
(WLTH)",WLTH,0x99b2b1a2adb02b38222adcd057783d7e5d1fcc7d,3.51%
"Vertex
(VRTX)",VRTX,0xfb0c734fc3008683c5eff45bcf8128836c4d97d0,10.10%
"ZARP Stablecoin
(ZARP)",ZARP,0xb755506531786C8aC63B756BaB1ac387bACB0C04,0.40%
"CrappyBird
(CRAPPY)",CRAPPY,0xc8e51fefd7d595c217c7ab641513faa4ad522b26,4.78%
"AGENT@base
(AGENT)",AGENT,0x7e5fe1e587a5c38b4a4a9ba38a35096f8ea35aac,3.96%
"MASQ
(MASQ)",MASQ,0x45d9c101a3870ca5024582fd788f4e1e8f7971c3,4.11%
"izumi Token
(iZi)",iZi,0x60D01EC2D5E98Ac51C8B4cF84DfCCE98D527c747,0.92%
"RWA Inc
(RWA)",RWA,0xe2b1dc2d4a3b4e59fdf0c47b71a7a86391a8b35a,1.53%
"Crestal Nation
(NATION)",NATION,0x2f74f818e81685c8086dd783837a4605a90474b8,5.81%
"VNX Euro
(VEUR)",VEUR,0x4ed9df25d38795a47f52614126e47f564d37f347,0.19%
"Fuse Token
(FUSE)",FUSE,0x01facC69EC7360640AA5898E852326752801674A,2.02%
"DeFi-IRA
(IRA)",IRA,0x029c58a909fbe3d4be85a24f414dda923a3fde0f,2.93%
"Hive Intelligence
(HINT)",HINT,0x91da780bc7f4b7cf19abe90411a2a296ec5ff787,1.08%
"ivault Token
(IVT)",IVT,0x4b12507e171970b3acd48edfeb5bd1c676e61280,0.81%
"KOMPETE Token
(KOMPETE)",KOMPETE,0x8f019931375454Fe4EE353427eB94E2E0C9e0a8C,10.14%
"Aviator
(AVI)",AVI,0x3203856eac03d343f9d5245ba2f39861838a7b36,0.87%
"ARI
(ARI)",ARI,0xd1e6f3f0a7f40d5412f7471875879381441bf722,0.02%
"Clustr
(CLUSTR)",CLUSTR,0x4b361e60cf256b926ba15f157d69cac9cd037426,4.68%
"The Nation Token
(NATO)",NATO,0xd968196fa6977c4e58f2af5ac01c655ea8332d22,2.06%
"Dor Technologies
(DOR)",DOR,0xfe9885baff18074846aaa2d5541581adf068731d,2.79%
"Presearch
(PRE)",PRE,0x3816dd4bd44c8830c2fa020a5605bac72fa3de7a,4.28%
"FREE GUAC
(GUAC)",GUAC,0x9a2270cc7d21be4225d2c5c588e86c24395f77c1,4.38%
"ISLAND
(ISLAND)",ISLAND,0x157a6df6B74F4E5E45af4E4615FDe7B49225a662,1.90%
"Locked Money
(LMY)",LMY,0x739f93504a9e26d5973862dbc4a44178cc264852,5.53%
"Axelar Wrapped REGEN
(axlREGEN)",axlREGEN,0x2e6c05f1f7d1f4eb9a088bf12257f1647682b754,1.33%
"UnlockProtocolToken
(UP)",UP,0xaC27fa800955849d6D17cC8952Ba9dD6EAA66187,6.85%
"BEPRO Token
(BEPRO)",BEPRO,0xf1095aa7DC127ed45441aCfb742694d6a0261b00,7.12%
"Send
(SEND)",SEND,0xeab49138ba2ea6dd776220fe26b7b8e446638956,1.66%
"Superseed
(SUPR)",SUPR,0x17906b1cd88aa8efaefc5e82891b52a22219bd45,1.60%
"PKT
(PKT)",PKT,0x917F39Bb33B2483Dd19546b1E8D2f09ce481ee44,0.28%
